-0.04712331,4.3,0.9499512
-0.0406372,3.97261,1.172061
-0.03299031,3.854651,1.060386
-0.04449588,3.86052,0.9591987
-0.04378033,3.836002,0.9414763
-0.0382539,3.896202,0.9447285
-0.0506261,3.93751,0.9630667
-0.06683454,3.886879,1.001254
-0.05459738,3.865197,1.076309
-0.03006992,3.857745,1.199852
-0.03007251,3.887369,1.391759
-0.05803621,3.911737,1.654721
-0.07290274,3.891086,1.993516
-0.05496168,3.874785,2.39962
-0.03137642,3.869278,2.917044
-0.03525126,3.88308,3.537713
-0.05644777,3.897974,4.233027
-0.06534806,3.892175,5.056877
-0.05239734,3.881818,5.948957
-0.03689364,3.876137,6.985388
-0.03740919,3.881131,8.138073
-0.04717347,3.890669,9.354749
-0.05046266,3.891109,10.73065
-0.04185715,3.885046,12.21975
-0.03164208,3.879514,13.79236
-0.02826506,3.880068,15.70804
-0.03006279,3.885329,17.95258
-0.02867711,3.884117,20.85209
-0.02125576,3.880407,24.26382
-0.008277744,3.88223,28.5313
0.008427113,3.88642,33.6021
0.02892804,3.888461,39.29222
0.05967572,3.888879,46.10072
0.100441,3.89001,53.53444
0.153163,3.89358,61.85453
0.2195199,3.895925,71.49335
0.3040093,3.897904,82.15976
0.4110725,3.900417,93.85612
0.5333915,3.899102,106.0912
0.6796227,3.903932,119.8464
0.8444065,3.908287,134.049
1.04143,3.911264,149.8469
1.25247,3.916157,166.0108
1.49309,3.920643,183.83
1.753169,3.92678,202.674
2.029142,3.931606,222.5316
2.28443,3.927637,242.5676
2.550956,3.932935,264.3749
2.826338,3.954838,287.1494
3.086904,3.959034,309.9506
3.339678,3.963547,334.5862
3.578785,3.97022,360.146
3.813874,3.974885,386.6132
4.037982,3.981562,412.9023
4.28542,3.98873,441.0994
4.569345,3.989088,470.1511
4.870337,4.013618,500.0405
5.185136,4.002778,529.5546
5.534616,4.002794,561.0362
5.889119,4.013947,593.3036
6.216435,4.023256,625.0568
6.517479,4.022604,657.5084
6.800017,4.025926,691.9822
7.055338,4.028331,727.177
